life_births,gni
6.234816,0.3
5.993938,0.4
5.7756,0.5
5.576781,0.6
5.394974,0.7
5.228086,0.8
5.074353,0.9
4.932278,1
4.800584,1.1
4.678173,1.2
4.564097,1.3
4.457533,1.4
4.357762,1.5
4.264155,1.6
4.176158,1.7
4.09328,1.8
4.015089,1.9
3.941197,2
3.87126,2.1
3.804968,2.2
3.742043,2.3
3.682235,2.4
3.625318,2.5
3.571088,2.6
3.519359,2.7
3.469961,2.8
3.42274,2.9
3.377556,3
3.33428,3.1
3.292793,3.2
3.252986,3.3
3.21476,3.4
3.178022,3.5
3.142688,3.6
3.108677,3.7
3.075917,3.8
3.04434,3.9
3.013884,4
2.984489,4.1
2.956102,4.2
2.928671,4.3
2.902148,4.4
2.87649,4.5
2.851654,4.6
2.827603,4.7
2.804298,4.8
2.781707,4.9
2.759796,5
2.738536,5.1
2.717898,5.2
2.697854,5.3
2.67838,5.4
2.659452,5.5
2.641047,5.6
2.623144,5.7
2.605722,5.8
2.588763,5.9
2.572247,6
2.556159,6.1
2.540481,6.2
2.525198,6.3
2.510295,6.4
2.495759,6.5
2.481575,6.6
2.467732,6.7
2.454217,6.8
2.441019,6.9
2.428126,7
2.415528,7.1
2.403216,7.2
2.391179,7.3
2.379408,7.4
2.367895,7.5
2.356631,7.6
2.345609,7.7
2.33482,7.8
2.324257,7.9
2.313914,8
2.303783,8.1
2.293858,8.2
2.284132,8.3
2.274601,8.4
2.265258,8.5
2.256097,8.6
2.247113,8.7
2.238302,8.8
2.229657,8.9
2.221175,9
2.212852,9.1
2.204682,9.2
2.196661,9.3
2.188785,9.4
2.181051,9.5
2.173455,9.6
2.165993,9.7
2.158661,9.8
2.151456,9.9
2.144375,10
2.137415,10.1
2.130572,10.2
2.123844,10.3
2.117228,10.4
2.110721,10.5
2.10432,10.6
2.098023,10.7
2.091827,10.8
2.08573,10.9
2.07973,11
2.073823,11.1
2.068009,11.2
2.062285,11.3
2.056648,11.4
2.051098,11.5
2.045631,11.6
2.040246,11.7
2.034941,11.8
2.029715,11.9
2.024565,12
2.01949,12.1
2.014489,12.2
2.009559,12.3
2.0047,12.4
1.999909,12.5
1.995186,12.6
1.990528,12.7
1.985935,12.8
1.981405,12.9
1.976938,13
1.97253,13.1
1.968182,13.2
1.963893,13.3
1.95966,13.4
1.955484,13.5
1.951362,13.6
1.947294,13.7
1.943278,13.8
1.939315,13.9
1.935402,14
1.931538,14.1
1.927724,14.2
1.923957,14.3
1.920238,14.4
1.916564,14.5
1.912936,14.6
1.909352,14.7
1.905812,14.8
1.902314,14.9
1.898859,15
1.895445,15.1
1.892071,15.2
1.888738,15.3
1.885443,15.4
1.882187,15.5
1.878969,15.6
1.875787,15.7
1.872643,15.8
1.869534,15.9
1.86646,16
1.863421,16.1
1.860416,16.2
1.857445,16.3
1.854506,16.4
1.8516,16.5
1.848726,16.6
1.845883,16.7
1.843071,16.8
1.84029,16.9
1.837538,17
1.834816,17.1
1.832122,17.2
1.829457,17.3
1.82682,17.4
1.82421,17.5
1.821628,17.6
1.819072,17.7
1.816543,17.8
1.814039,17.9
1.811561,18
1.809109,18.1
1.80668,18.2
1.804277,18.3
1.801897,18.4
1.799541,18.5
1.797208,18.6
1.794898,18.7
1.792611,18.8
1.790346,18.9
1.788102,19
1.785881,19.1
1.783681,19.2
1.781502,19.3
1.779343,19.4
1.777205,19.5
1.775087,19.6
1.772989,19.7
1.770911,19.8
1.768852,19.9
1.766812,20
1.76479,20.1
1.762788,20.2
1.760803,20.3
1.758836,20.4
1.756888,20.5
1.754956,20.6
1.753043,20.7
1.751146,20.8
1.749266,20.9
1.747402,21
1.745555,21.1
1.743724,21.2
1.741909,21.3
1.74011,21.4
1.738326,21.5
1.736558,21.6
1.734805,21.7
1.733067,21.8
1.731344,21.9
1.729635,22
1.72794,22.1
1.72626,22.2
1.724594,22.3
1.722942,22.4
1.721303,22.5
1.719678,22.6
1.718066,22.7
1.716468,22.8
1.714882,22.9
1.71331,23
1.71175,23.1
1.710202,23.2
1.708667,23.3
1.707145,23.4
1.705634,23.5
1.704136,23.6
1.702649,23.7
1.701174,23.8
1.69971,23.9
1.698258,24
1.696817,24.1
1.695388,24.2
1.693969,24.3
1.692561,24.4
1.691164,24.5
1.689778,24.6
1.688402,24.7
1.687037,24.8
1.685682,24.9
1.684337,25
1.683002,25.1
1.681677,25.2
1.680362,25.3
1.679057,25.4
1.677761,25.5
1.676475,25.6
1.675198,25.7
1.67393,25.8
1.672672,25.9
1.671423,26
1.670183,26.1
1.668951,26.2
1.667729,26.3
1.666515,26.4
1.66531,26.5
1.664114,26.6
1.662925,26.7
1.661746,26.8
1.660574,26.9
1.659411,27
1.658256,27.1
1.657108,27.2
1.655969,27.3
1.654838,27.4
1.653714,27.5
1.652598,27.6
1.65149,27.7
1.650389,27.8
1.649295,27.9
1.648209,28
1.647131,28.1
1.646059,28.2
1.644995,28.3
1.643938,28.4
1.642887,28.5
1.641844,28.6
1.640808,28.7
1.639778,28.8
1.638755,28.9
1.637739,29
1.63673,29.1
1.635727,29.2
1.63473,29.3
1.63374,29.4
1.632756,29.5
1.631779,29.6
1.630808,29.7
1.629843,29.8
1.628884,29.9
1.627931,30
1.626984,30.1
1.626043,30.2
1.625108,30.3
1.624179,30.4
1.623256,30.5
1.622338,30.6
1.621426,30.7
1.62052,30.8
1.619619,30.9
1.618723,31
1.617834,31.1
1.616949,31.2
1.61607,31.3
1.615197,31.4
1.614328,31.5
1.613465,31.6
1.612607,31.7
1.611754,31.8
1.610906,31.9
1.610064,32
1.609226,32.1
1.608393,32.2
1.607565,32.3
1.606742,32.4
1.605924,32.5
1.605111,32.6
1.604302,32.7
1.603498,32.8
1.602699,32.9
1.601904,33
1.601114,33.1
1.600328,33.2
1.599547,33.3
